engagement_id,unit_type,terrain,weather,visibility_km,target_density,contact_duration_min,rounds_planned,rounds_expended,spend_efficiency,mission_success
1,Artillery,Snow,Overcast,4.1,Medium,21,242,140,Under,1
2,SF,Forest,Fog,5.8,Low,39,138,161,Over,1
3,Infantry,Desert,Clear,5.6,Medium,42,136,142,Efficient,1
4,Artillery,Forest,Snow,5.1,Medium,27,30,26,Under,1
5,Artillery,Snow,Clear,0.2,Low,22,146,79,Under,0
6,SF,Snow,Snow,1.1,High,36,258,355,Over,0
7,Infantry,Mountain,Snow,7.5,High,31,55,86,Over,0
8,Infantry,Snow,Clear,7.9,Medium,38,122,142,Over,1
9,Artillery,Mountain,Overcast,4.3,Low,58,206,217,Efficient,1
10,Mechanized,Desert,Snow,7.3,High,36,45,69,Over,0
11,Artillery,Forest,Clear,2.5,Medium,25,149,114,Under,1
12,Artillery,Forest,Snow,2.9,Medium,21,248,184,Under,1
13,Artillery,Mountain,Rain,2.3,Low,22,302,154,Under,1
14,Artillery,Forest,Overcast,2.8,Medium,13,197,48,Under,1
15,SF,Snow,Fog,5.9,High,48,124,176,Over,0
16,Infantry,Urban,Snow,2.8,Low,5,122,11,Under,1
17,SF,Mountain,Rain,9.0,High,42,188,296,Over,0
18,SF,Forest,Fog,5.4,High,21,196,156,Under,1
19,SF,Mountain,Fog,6.7,High,27,291,251,Under,1
20,Artillery,Mountain,Snow,5.5,Medium,21,238,193,Under,1
21,Mechanized,Urban,Clear,6.9,Medium,56,185,240,Over,0
22,Infantry,Snow,Snow,2.8,High,35,159,177,Efficient,1
23,Mechanized,Mountain,Rain,7.4,High,46,360,665,Over,0
24,SF,Forest,Fog,4.8,Low,54,217,342,Over,0
25,SF,Desert,Snow,6.9,Low,37,139,185,Over,0
26,Mechanized,Mountain,Clear,1.6,Medium,17,166,80,Under,1
27,Mechanized,Mountain,Snow,4.9,Medium,31,127,162,Over,0
28,Mechanized,Urban,Overcast,4.8,Low,23,35,14,Under,1
29,SF,Snow,Clear,3.3,High,27,198,239,Over,1
30,SF,Desert,Rain,5.1,Medium,33,286,208,Under,1
31,Infantry,Forest,Fog,7.6,High,32,82,100,Over,1
32,Infantry,Desert,Snow,3.1,Low,41,183,210,Efficient,1
33,SF,Forest,Clear,6.4,Medium,43,137,127,Efficient,1
34,Mechanized,Snow,Overcast,2.2,Medium,32,211,151,Under,1
35,Mechanized,Forest,Clear,8.7,Low,41,169,136,Under,1
36,Infantry,Urban,Overcast,6.1,Medium,26,98,67,Under,1
37,SF,Urban,Rain,8.0,Low,54,121,203,Over,0
38,Infantry,Urban,Fog,5.8,Medium,26,130,109,Under,1
39,Infantry,Urban,Rain,5.3,Low,52,260,309,Over,1
40,Artillery,Desert,Snow,6.1,Medium,12,257,59,Under,1
41,Artillery,Snow,Clear,4.2,High,29,161,171,Efficient,1
42,Artillery,Forest,Overcast,1.3,High,30,253,272,Efficient,1
43,Mechanized,Forest,Overcast,5.4,High,39,169,168,Efficient,1
44,SF,Urban,Clear,3.0,Medium,47,160,200,Over,0
45,SF,Urban,Clear,2.3,Medium,16,183,80,Under,1
46,SF,Mountain,Snow,5.8,High,18,197,171,Under,1
47,SF,Snow,Rain,3.9,High,13,146,63,Under,1
48,Artillery,Desert,Overcast,6.6,Low,54,181,189,Efficient,1
49,Mechanized,Forest,Snow,2.9,Low,39,227,213,Efficient,1
50,Mechanized,Mountain,Rain,3.6,Low,18,187,96,Under,1
