grid_id,slope_deg,proximity_to_river_km,vegetation_index_0to1,night_illumination_0to1,past_incidents_2yrs,snow_cover_days,visibility_km,risk_band
1,12.3,4.54,0.43,0.5,1,29,4.9,High
2,29.0,6.65,0.26,0.21,0,191,5.0,Low
3,18.9,2.4,0.41,0.3,2,102,3.7,Medium
4,23.7,3.98,0.61,0.49,1,143,5.9,Low
5,20.0,1.4,0.62,0.45,1,128,2.7,Low
6,13.8,9.88,0.38,0.25,0,156,4.2,Low
7,42.0,0.01,0.27,0.28,0,117,3.6,Medium
8,30.3,1.57,0.43,0.22,0,66,3.1,High
9,12.6,0.91,0.4,0.54,0,78,3.7,Medium
10,38.5,4.62,0.22,0.13,0,105,1.8,High
11,27.3,1.46,0.38,0.57,0,56,2.3,High
12,7.1,7.23,0.46,0.29,2,85,6.3,Medium
13,26.8,4.94,0.55,0.19,2,72,8.7,Low
14,22.2,0.47,0.3,0.05,1,106,4.4,High
15,19.7,6.34,0.19,0.22,0,100,5.0,Medium
16,28.1,6.74,0.32,0.17,0,124,4.0,Low
17,21.4,1.81,0.39,0.36,0,154,4.3,Low
18,0.0,0.57,0.13,0.12,0,110,4.5,High
19,4.5,5.2,0.14,0.46,2,59,5.4,High
20,9.4,5.98,0.41,0.19,1,38,6.3,Medium
21,38.0,0.99,0.07,0.41,0,126,1.9,Medium
22,24.5,6.77,0.56,0.63,0,93,8.6,Low
23,23.4,2.28,0.44,0.28,0,113,3.7,Low
24,19.1,7.55,0.29,0.17,0,133,3.7,Low
25,8.8,0.74,0.28,0.22,1,177,2.8,Medium
26,3.5,1.8,0.49,0.04,1,50,2.8,High
27,28.0,3.37,0.29,0.13,1,79,4.6,High
28,34.6,1.03,0.28,0.46,0,116,4.6,Low
29,24.8,3.91,0.35,0.54,1,74,4.5,Medium
30,13.1,2.96,0.76,0.17,0,60,2.7,Medium
31,13.9,3.37,0.13,0.27,0,172,0.3,Medium
32,24.9,2.79,0.3,0.19,1,78,0.3,High
33,16.8,0.13,0.32,0.24,0,67,3.5,High
34,16.4,3.93,0.5,0.28,2,74,4.1,High
35,12.6,3.62,0.57,0.38,2,163,2.7,Low
36,11.4,0.97,0.35,0.27,0,92,2.3,High
37,16.8,7.75,0.16,0.28,0,64,4.0,High
38,2.2,4.94,0.44,0.37,1,86,3.3,Medium
39,24.2,6.16,0.25,0.26,0,118,2.6,Medium
40,0.0,1.57,0.43,0.25,1,155,0.6,High
41,28.7,2.93,0.22,0.42,0,152,2.0,Low
42,12.7,9.23,0.19,0.46,3,88,5.2,Medium
43,16.8,4.51,0.18,0.12,4,98,1.8,High
44,23.6,5.09,0.55,0.31,0,204,4.7,Low
45,15.1,4.96,0.15,0.3,0,159,6.0,Low
46,10.6,5.2,0.38,0.29,0,109,2.1,Medium
47,20.9,0.81,0.46,0.73,0,28,2.7,High
48,40.0,0.91,0.55,0.15,1,101,5.3,Medium
49,25.9,0.92,0.29,0.29,2,66,5.7,High
50,10.4,5.65,0.39,0.06,0,85,2.3,High
51,14.5,0.36,0.41,0.2,1,81,0.6,High
52,13.2,0.59,0.16,0.17,1,110,5.8,Medium
53,7.7,2.07,0.1,0.07,1,122,4.6,Medium
54,24.0,3.18,0.32,0.07,0,90,4.2,Medium
55,14.7,3.85,0.66,0.48,0,68,5.1,Low
56,21.2,2.54,0.24,0.33,1,112,1.4,High
57,0.0,5.45,0.61,0.06,0,100,4.2,High
58,24.9,7.5,0.54,0.13,0,44,3.0,High
59,12.1,4.15,0.18,0.22,2,144,4.6,Medium
60,7.9,7.49,0.77,0.14,1,90,4.9,Low
61,4.6,5.65,0.68,0.26,1,109,5.3,Low
62,8.8,1.13,0.15,0.24,1,111,4.6,Medium
63,13.7,1.46,0.55,0.12,1,119,4.0,Medium
64,26.9,1.31,0.49,0.14,1,125,4.0,Medium
65,13.6,3.43,0.31,0.06,0,67,4.2,High
66,27.8,3.16,0.43,0.37,1,132,2.4,Medium
67,20.9,5.78,0.18,0.45,1,106,2.8,Medium
68,36.2,3.53,0.08,0.06,1,163,4.2,Medium
69,13.0,4.74,0.63,0.06,0,152,4.7,Low
70,22.1,0.5,0.64,0.27,1,172,2.3,Low
71,30.5,4.72,0.26,0.55,1,82,1.6,High
72,24.3,2.56,0.85,0.19,2,171,0.5,Medium
73,16.3,2.35,0.71,0.09,0,123,1.2,Medium
74,13.1,2.06,0.06,0.3,2,147,2.5,High
75,0.0,8.53,0.32,0.63,1,146,2.7,Medium
76,15.6,0.46,0.82,0.34,2,138,3.0,Medium
77,8.8,6.03,0.19,0.2,0,76,1.3,High
78,12.6,3.86,0.28,0.28,0,158,0.3,Medium
79,18.5,0.08,0.09,0.1,1,134,3.7,High
80,2.4,3.11,0.43,0.29,1,61,3.7,High
81,8.1,3.01,0.09,0.21,0,100,4.6,Medium
82,21.9,9.16,0.05,0.34,0,71,5.0,Medium
83,5.3,2.9,0.06,0.34,1,62,4.2,High
84,17.5,7.35,0.19,0.35,0,154,3.7,Low
85,4.0,8.04,0.32,0.28,0,60,5.1,Medium
86,23.3,2.3,0.39,0.47,2,67,6.1,Medium
87,24.6,4.09,0.17,0.46,1,199,2.3,Low
88,30.3,4.56,0.62,0.16,1,102,4.9,Low
89,30.5,9.7,0.52,0.11,0,146,2.4,Low
90,20.7,3.43,0.1,0.28,1,164,3.9,Low
91,0.4,3.84,0.54,0.25,0,150,5.4,Low
92,18.0,0.2,0.45,0.5,0,125,3.0,Medium
93,22.6,1.32,0.18,0.31,2,118,1.8,High
94,19.2,2.5,0.4,0.34,1,141,2.7,Medium
95,34.6,7.9,0.37,0.33,1,111,1.8,Medium
96,31.0,9.68,0.65,0.52,0,147,1.6,Low
97,18.3,5.5,0.32,0.01,2,109,5.7,Medium
98,25.5,5.05,0.6,0.03,0,114,4.5,Low
99,3.3,6.05,0.42,0.26,1,195,2.2,Low
100,19.9,1.95,0.41,0.03,1,100,1.7,High
101,5.4,8.17,0.84,0.33,0,120,1.9,Low
102,16.2,0.29,0.14,0.16,2,137,2.2,High
103,11.2,2.64,0.15,0.11,0,139,5.6,Low
104,11.5,5.96,0.39,0.12,1,131,3.3,Medium
105,9.9,2.56,0.08,0.44,1,69,7.3,Medium
106,14.0,11.41,0.27,0.16,0,126,3.4,Medium
107,12.3,6.0,0.69,0.23,0,129,2.5,Low
108,24.3,6.95,0.54,0.12,1,165,5.2,Low
109,15.4,1.72,0.68,0.21,1,149,0.5,Medium
110,17.5,6.89,0.27,0.23,3,168,3.8,Medium
111,20.9,6.43,0.22,0.16,0,79,1.3,High
112,20.9,8.69,0.49,0.07,0,80,0.3,High
113,7.3,2.58,0.47,0.3,1,133,3.3,Medium
114,15.4,1.66,0.46,0.04,0,165,5.0,Low
115,20.4,5.01,0.3,0.54,1,111,3.9,Medium
116,9.2,5.1,0.14,0.21,1,90,3.7,High
117,8.1,3.86,0.45,0.13,1,55,0.3,High
118,6.3,0.58,0.49,0.11,0,134,3.2,Medium
119,20.0,4.59,0.64,0.47,2,115,3.2,Medium
120,15.1,4.93,0.51,0.48,0,102,4.6,Low
121,16.5,3.99,0.13,0.36,0,156,1.6,Medium
122,0.2,3.89,0.28,0.26,0,116,5.0,Medium
123,18.7,6.83,0.37,0.09,1,120,2.6,Medium
124,19.2,3.54,0.56,0.24,0,155,3.0,Low
125,20.6,0.25,0.39,0.17,0,207,4.5,Low
126,32.4,8.21,0.16,0.09,1,102,1.4,High
127,10.4,8.04,0.58,0.36,0,84,5.0,Low
128,22.9,3.88,0.27,0.08,2,80,1.1,High
129,21.3,6.63,0.55,0.15,0,139,4.7,Low
130,22.6,0.57,0.55,0.12,3,76,3.1,High
131,14.9,3.57,0.45,0.16,1,105,3.2,Medium
132,25.6,1.14,0.27,0.25,1,108,0.3,High
133,10.7,7.37,0.52,0.24,0,182,2.4,Low
134,13.3,0.49,0.17,0.24,1,167,3.1,Medium
135,16.1,2.77,0.67,0.47,0,58,6.3,Low
136,15.7,4.65,0.56,0.24,1,183,3.4,Low
137,21.7,6.47,0.79,0.24,2,71,2.3,High
138,20.6,5.58,0.35,0.26,0,126,5.0,Low
139,20.7,7.43,0.37,0.12,0,86,2.6,High
140,31.2,6.41,0.44,0.43,3,104,5.4,Medium
141,15.9,7.93,0.72,0.18,0,80,4.0,Medium
142,28.6,1.27,0.42,0.32,0,187,1.9,Low
143,7.4,2.55,0.46,0.14,1,114,5.2,Medium
144,16.7,5.35,0.23,0.37,1,129,4.6,Low
145,17.3,8.72,0.5,0.12,0,77,5.1,Medium
146,4.9,2.48,0.49,0.39,0,63,3.2,Medium
147,18.5,9.9,0.57,0.05,0,102,4.6,Low
148,19.2,5.06,0.43,0.11,1,140,7.0,Low
149,24.0,1.87,0.61,0.66,1,115,3.8,Low
150,22.8,0.54,0.63,0.37,0,158,2.8,Low
151,5.2,6.21,0.1,0.17,0,124,6.3,Low
152,30.0,2.08,0.54,0.21,1,120,4.7,Low
153,13.4,3.18,0.38,0.35,1,141,2.7,Medium
154,12.0,4.49,0.3,0.23,1,124,6.6,Low
155,22.9,4.6,0.66,0.46,0,157,1.3,Low
156,26.5,9.74,0.63,0.13,1,142,4.5,Low
157,13.3,5.18,0.45,0.25,0,156,5.6,Low
158,17.6,2.19,0.44,0.28,0,148,5.4,Low
159,27.1,1.76,0.15,0.28,1,174,1.9,Medium
160,8.7,9.0,0.34,0.19,1,153,1.3,Medium
161,0.0,2.45,0.58,0.2,0,189,3.9,Low
162,23.4,5.75,0.2,0.24,1,98,4.8,Medium
163,27.2,4.58,0.46,0.51,1,153,1.6,Low
164,2.1,5.26,0.56,0.17,1,64,4.0,High
165,17.8,8.19,0.55,0.44,2,157,0.9,Medium
166,13.0,4.85,0.24,0.44,0,122,5.4,Low
167,19.3,6.45,0.74,0.41,0,157,2.5,Low
168,0.0,4.92,0.43,0.13,2,187,3.2,Medium
169,5.3,2.64,0.09,0.18,0,152,5.1,Low
170,22.5,5.48,0.36,0.32,1,103,4.9,Medium
171,16.7,2.05,0.68,0.39,1,76,4.4,Medium
172,33.0,0.51,0.33,0.31,0,141,5.4,Low
173,23.9,5.74,0.17,0.35,0,108,4.2,Medium
174,8.4,5.39,0.51,0.1,0,146,6.1,Low
175,25.2,5.08,0.23,0.12,0,99,0.4,High
176,35.1,3.93,0.66,0.11,0,82,3.4,Medium
177,17.3,3.78,0.74,0.21,0,110,3.3,Low
178,22.0,0.75,0.71,0.29,0,140,3.1,Low
179,26.3,1.59,0.02,0.14,0,124,4.4,Medium
180,16.3,6.66,0.02,0.44,0,87,3.9,Medium
181,0.0,6.62,0.62,0.39,1,192,5.0,Low
182,23.6,3.25,0.55,0.45,0,114,1.4,Medium
183,26.0,8.42,0.75,0.61,0,29,7.6,Low
184,32.6,5.5,0.04,0.14,1,157,2.8,Medium
185,7.0,5.01,0.18,0.28,0,119,4.0,Medium
186,7.5,10.05,0.42,0.16,1,113,3.1,Medium
187,11.1,0.24,0.22,0.03,0,112,3.6,High
188,16.3,3.86,0.55,0.2,0,112,2.5,Medium
189,23.4,1.44,0.09,0.67,0,186,3.9,Low
190,6.8,2.9,0.31,0.56,0,138,4.5,Low
