link_id,device,freq_mhz,terrain,distance_km,line_of_sight,solar_activity,humidity_pct,dropout
1,SAT,2287.72,Hills,7.31,1,Medium,84.0,0
2,SAT,2076.06,Hills,0.99,1,Medium,50.0,0
3,UHF,2929.0,Hills,4.53,1,Low,51.0,0
4,VHF,286.88,Mountains,3.19,1,High,88.0,0
5,UHF,814.71,Hills,4.62,1,Low,59.0,0
6,HF,26.1,Snow,16.92,1,High,50.0,1
7,SAT,1826.08,Urban,7.26,1,Medium,37.0,0
8,UHF,764.73,Mountains,22.59,1,Low,64.0,0
9,HF,15.2,Snow,0.65,1,Low,84.0,0
10,VHF,107.0,Plain,3.11,0,Low,54.0,0
11,HF,16.73,Plain,1.42,1,Medium,81.0,1
12,SAT,2147.83,Urban,5.48,1,Medium,52.0,0
13,VHF,111.88,Plain,0.5,1,Medium,40.0,0
14,UHF,1769.19,Hills,11.2,1,Medium,45.0,0
15,SAT,2125.71,Forest,4.59,1,Low,40.0,0
16,SAT,2116.13,Plain,5.56,1,High,83.0,1
17,SAT,2424.5,Snow,7.91,0,High,78.0,0
18,UHF,2051.2,Mountains,6.85,1,High,63.0,0
19,UHF,1197.98,Plain,5.81,0,Low,10.0,1
20,HF,5.55,Urban,14.75,1,High,85.0,0
21,HF,16.14,Hills,1.36,0,Medium,47.0,0
22,VHF,185.53,Snow,0.5,1,Low,43.0,0
23,SAT,2056.28,Plain,4.99,0,High,48.0,0
24,HF,17.85,Hills,0.5,1,Low,56.0,1
25,VHF,131.34,Snow,4.04,0,High,64.0,0
26,UHF,2885.88,Snow,6.01,0,Low,77.0,0
27,HF,19.55,Snow,5.6,1,Medium,66.0,0
28,VHF,90.02,Urban,2.06,1,High,56.0,0
29,SAT,1506.4,Plain,5.67,1,Low,48.0,0
30,SAT,2070.17,Urban,2.04,0,Medium,37.0,0
31,HF,23.15,Hills,8.19,1,Medium,63.0,0
32,SAT,1609.49,Snow,10.28,1,Medium,66.0,0
33,HF,15.59,Forest,5.48,0,Low,40.0,0
34,SAT,2472.1,Forest,4.94,1,Low,34.0,0
35,SAT,1994.3,Mountains,1.7,1,Medium,71.0,0
36,UHF,2604.57,Hills,3.13,1,Low,47.0,0
37,VHF,67.97,Plain,1.31,1,Medium,32.0,0
38,SAT,1952.01,Urban,6.09,0,High,36.0,1
39,UHF,1254.18,Snow,5.25,1,Medium,65.0,0
40,VHF,37.63,Urban,0.58,1,Low,86.0,1
41,SAT,2021.13,Hills,11.4,0,Low,75.0,0
42,UHF,1376.59,Forest,21.97,0,High,17.0,0
43,HF,19.51,Urban,0.76,0,Low,53.0,0
44,SAT,2046.49,Mountains,1.61,1,Low,71.0,0
45,SAT,1953.47,Hills,8.62,0,Medium,25.0,0
46,VHF,57.29,Plain,2.51,1,Medium,87.0,0
47,SAT,1942.69,Urban,0.5,1,Low,19.0,0
48,UHF,2921.92,Snow,12.14,1,Medium,67.0,0
49,VHF,104.05,Plain,3.73,1,Medium,48.0,0
50,VHF,133.94,Forest,0.5,0,High,59.0,0
51,VHF,257.2,Forest,2.85,0,Low,57.0,0
52,VHF,170.41,Plain,8.99,0,Low,37.0,0
53,SAT,1502.04,Urban,2.51,0,High,66.0,0
54,VHF,175.66,Forest,0.7,1,Medium,50.0,0
55,SAT,2372.01,Urban,0.5,0,Low,67.0,0
56,UHF,2164.0,Urban,7.56,0,High,42.0,0
57,SAT,2257.18,Forest,3.57,1,High,50.0,1
58,UHF,403.32,Urban,1.93,1,Low,66.0,0
59,UHF,783.78,Mountains,8.75,1,Medium,41.0,0
60,VHF,188.0,Forest,0.6,1,Medium,78.0,0
61,UHF,713.33,Plain,0.89,1,Low,61.0,0
62,HF,23.35,Mountains,2.46,0,Medium,95.0,0
63,HF,9.13,Plain,0.5,0,High,52.0,0
64,VHF,115.87,Forest,9.62,0,High,60.0,0
65,UHF,412.47,Hills,3.06,0,Low,50.0,1
66,SAT,1926.25,Urban,4.51,0,Low,55.0,1
67,SAT,1755.72,Snow,0.5,1,Low,66.0,0
68,SAT,1533.17,Mountains,10.06,1,Low,87.0,0
69,HF,6.61,Urban,17.46,1,High,84.0,1
70,VHF,135.95,Mountains,10.93,1,Low,71.0,0
71,UHF,1224.15,Hills,5.76,0,Medium,34.0,0
72,UHF,2624.39,Hills,7.85,1,Medium,48.0,1
73,UHF,1117.56,Forest,9.44,0,Low,67.0,0
74,UHF,1421.1,Snow,1.22,0,Low,39.0,0
75,UHF,1403.17,Snow,0.77,0,Medium,55.0,0
76,HF,19.17,Plain,1.14,0,Low,58.0,0
77,SAT,2402.77,Snow,10.95,1,Low,91.0,0
78,VHF,212.15,Mountains,2.05,1,Medium,52.0,0
79,UHF,2563.65,Plain,0.83,0,Medium,24.0,0
80,HF,8.05,Hills,38.98,1,High,70.0,0
81,SAT,2339.45,Urban,0.92,0,Medium,76.0,0
82,HF,21.9,Urban,0.62,1,High,100.0,1
83,UHF,1096.26,Snow,8.98,1,Low,46.0,0
84,VHF,271.75,Forest,9.33,1,High,28.0,0
85,UHF,2095.57,Snow,3.99,1,High,62.0,0
86,UHF,1562.97,Urban,1.61,1,Low,65.0,0
87,VHF,220.2,Urban,1.84,1,Medium,67.0,0
88,HF,3.18,Hills,1.81,1,Low,47.0,0
89,SAT,1823.41,Mountains,10.03,1,High,64.0,1
90,SAT,2276.7,Forest,0.5,1,Medium,57.0,0
91,UHF,2619.34,Snow,6.2,1,Medium,44.0,0
92,UHF,2460.5,Plain,15.53,1,High,33.0,0
93,UHF,2274.25,Plain,6.98,0,High,49.0,0
94,SAT,1997.58,Snow,3.38,0,High,54.0,1
95,UHF,811.91,Snow,0.5,0,Low,69.0,1
96,HF,5.99,Hills,0.5,0,Medium,54.0,1
97,SAT,2423.99,Plain,1.17,1,High,45.0,0
98,HF,8.69,Urban,4.74,0,Medium,66.0,0
99,VHF,96.22,Urban,3.03,1,Medium,54.0,0
100,HF,22.49,Urban,4.6,1,Low,41.0,0
101,SAT,2255.87,Urban,0.5,1,Medium,62.0,0
102,UHF,1402.11,Hills,8.79,1,Low,68.0,0
103,SAT,1575.05,Snow,5.68,1,Medium,53.0,0
104,HF,16.08,Urban,5.08,1,Medium,88.0,0
105,VHF,249.44,Urban,0.95,0,High,80.0,0
106,UHF,2681.32,Snow,3.95,0,Medium,65.0,0
107,HF,20.56,Forest,1.48,1,Low,48.0,0
108,VHF,214.84,Hills,13.48,0,High,19.0,0
109,SAT,1523.79,Plain,3.14,0,High,31.0,0
110,SAT,1713.13,Mountains,1.84,0,Low,73.0,0
111,HF,23.17,Snow,15.05,1,High,37.0,0
112,SAT,2030.5,Forest,1.15,1,Low,63.0,0
113,UHF,1884.82,Snow,3.4,0,Low,37.0,1
114,VHF,248.8,Urban,0.94,1,Low,51.0,0
115,SAT,2169.48,Snow,0.5,1,High,45.0,0
116,SAT,1919.9,Mountains,0.5,1,High,72.0,0
117,HF,29.3,Plain,0.5,0,Low,73.0,0
118,UHF,952.76,Plain,6.18,0,High,23.0,0
119,VHF,121.78,Plain,2.45,1,High,82.0,0
120,UHF,2102.53,Plain,12.75,1,Medium,50.0,0
121,UHF,926.49,Hills,4.93,0,Medium,77.0,0
122,UHF,1327.37,Hills,8.22,0,Low,81.0,0
123,UHF,2166.59,Mountains,1.66,1,High,44.0,0
124,VHF,121.28,Forest,1.2,1,Low,87.0,0
125,UHF,454.51,Forest,2.94,0,High,19.0,0
126,HF,18.12,Plain,8.79,0,Medium,34.0,0
127,SAT,2270.12,Mountains,3.26,1,Low,47.0,0
128,UHF,2305.7,Hills,4.0,0,Low,34.0,0
129,HF,19.77,Urban,2.22,0,Medium,26.0,0
130,HF,23.66,Mountains,4.49,0,Low,76.0,1
131,SAT,1699.33,Forest,3.52,1,Medium,46.0,0
132,SAT,2233.96,Snow,3.1,1,High,57.0,0
133,HF,4.35,Plain,3.98,0,High,69.0,0
134,SAT,2240.05,Forest,2.71,1,Medium,77.0,1
135,SAT,1550.71,Forest,7.74,0,High,86.0,1
136,UHF,2383.0,Snow,0.5,1,High,38.0,0
137,SAT,2384.93,Hills,2.19,1,Medium,86.0,0
138,UHF,2538.41,Snow,7.0,0,Low,58.0,0
139,SAT,1848.55,Snow,2.28,1,Medium,58.0,1
140,SAT,2475.13,Mountains,3.17,0,Medium,49.0,0
141,SAT,2018.41,Forest,2.49,1,High,61.0,0
142,HF,13.24,Forest,2.16,0,Medium,86.0,0
143,UHF,1872.25,Urban,3.99,1,Low,68.0,1
144,HF,11.23,Hills,0.89,0,High,77.0,0
145,UHF,781.43,Plain,2.86,0,Medium,38.0,0
146,SAT,1663.34,Mountains,7.02,0,Low,46.0,1
147,UHF,757.54,Snow,0.5,1,Low,57.0,1
148,VHF,91.64,Urban,4.62,0,Medium,65.0,1
149,SAT,2386.46,Mountains,20.1,0,Low,62.0,0
150,HF,13.93,Mountains,2.58,0,Low,91.0,0
151,SAT,1500.1,Plain,3.87,1,Low,42.0,1
152,VHF,112.05,Mountains,0.76,1,High,64.0,0
153,SAT,2496.1,Forest,6.13,0,High,65.0,1
154,UHF,2287.73,Hills,2.71,0,Low,47.0,1
