route_id,length_km,bridges_count,landslide_zone_km,rainfall_mm_24h,road_type,elevation_gain_m,cell_coverage_pct,ambush_cover_score_1to5,route_risk
1,88.0,0,16.8,58.0,Mixed,595.0,64.0,4,Low
2,107.0,2,11.0,24.0,Mixed,740.0,59.0,5,Low
3,137.2,5,0.8,130.0,Unpaved,578.0,15.0,1,Medium
4,123.3,3,3.2,100.0,Paved,0.0,65.0,5,Low
5,143.6,9,0.7,166.0,Paved,1544.0,31.0,5,High
6,163.1,3,20.4,170.0,Paved,410.0,34.0,2,Medium
7,112.0,8,7.0,229.0,Mixed,575.0,68.0,3,Medium
8,57.9,5,4.7,88.0,Paved,684.0,87.0,2,Low
9,23.9,5,10.0,155.0,Mixed,1115.0,75.0,1,Low
10,74.2,3,13.7,121.0,Unpaved,504.0,70.0,3,Medium
11,133.5,3,10.6,166.0,Unpaved,1440.0,63.0,5,High
12,37.0,1,17.7,157.0,Mixed,1925.0,77.0,2,Low
13,184.4,4,9.0,117.0,Paved,1782.0,97.0,1,Low
14,56.9,5,0.0,135.0,Mixed,952.0,41.0,2,Low
15,113.2,3,1.5,41.0,Mixed,454.0,41.0,5,Low
16,208.6,8,20.2,176.0,Mixed,438.0,73.0,4,Medium
17,109.1,4,1.4,5.0,Unpaved,578.0,12.0,2,Low
18,54.5,5,9.7,172.0,Paved,289.0,53.0,2,Low
19,10.0,4,2.3,42.0,Unpaved,1049.0,62.0,4,Medium
20,144.4,1,32.3,190.0,Paved,664.0,41.0,2,Medium
21,138.6,5,2.6,171.0,Unpaved,790.0,7.0,1,Medium
22,154.6,4,4.5,97.0,Mixed,615.0,90.0,3,Low
23,126.8,4,14.9,4.0,Paved,1071.0,40.0,1,Low
24,87.8,3,10.7,169.0,Unpaved,954.0,41.0,4,High
25,72.8,1,3.9,40.0,Unpaved,588.0,88.0,1,Low
26,122.5,3,12.0,200.0,Paved,711.0,0.0,1,Medium
27,179.4,3,39.1,45.0,Unpaved,710.0,93.0,5,High
28,10.0,3,1.6,37.0,Mixed,1202.0,100.0,4,Low
29,176.3,3,2.8,117.0,Unpaved,333.0,33.0,3,Medium
30,102.6,2,6.0,36.0,Mixed,521.0,43.0,3,Low
31,110.0,4,3.8,123.0,Paved,0.0,67.0,2,Low
32,161.7,4,3.8,16.0,Paved,155.0,61.0,4,Low
33,109.8,4,5.6,156.0,Mixed,658.0,80.0,4,Low
34,133.5,7,15.6,81.0,Paved,538.0,67.0,3,Low
35,22.0,5,4.4,282.0,Paved,0.0,76.0,2,Medium
36,103.4,3,3.0,149.0,Unpaved,1115.0,100.0,1,Low
37,150.4,4,8.0,158.0,Unpaved,272.0,15.0,3,High
38,96.5,8,20.5,144.0,Mixed,0.0,89.0,4,Medium
39,100.1,6,12.0,14.0,Paved,1019.0,92.0,3,Low
40,129.8,5,4.2,155.0,Unpaved,1300.0,28.0,5,High
41,145.9,3,35.8,0.0,Mixed,0.0,35.0,5,Medium
42,211.3,6,11.7,290.0,Paved,1209.0,68.0,3,Medium
43,146.4,5,1.5,6.0,Unpaved,671.0,24.0,5,Medium
44,201.1,1,11.9,42.0,Mixed,647.0,40.0,5,Medium
45,114.2,5,23.6,182.0,Paved,128.0,61.0,3,Medium
46,10.0,7,6.4,194.0,Mixed,707.0,38.0,1,Low
47,94.3,6,13.1,234.0,Paved,745.0,49.0,5,High
48,71.4,8,1.6,233.0,Mixed,2152.0,33.0,4,High
49,116.2,2,1.2,71.0,Unpaved,1113.0,31.0,4,Medium
50,100.7,8,9.9,0.0,Mixed,799.0,67.0,4,Low
51,135.8,2,5.1,158.0,Paved,1509.0,52.0,3,Low
52,79.8,5,6.2,61.0,Paved,1331.0,58.0,1,Low
53,132.9,4,3.7,103.0,Mixed,0.0,73.0,4,Low
54,142.2,4,6.1,133.0,Unpaved,1197.0,60.0,2,Medium
55,122.1,7,1.0,235.0,Paved,859.0,47.0,5,High
56,32.2,5,1.1,179.0,Mixed,380.0,33.0,3,Medium
57,173.6,2,5.9,105.0,Mixed,180.0,66.0,5,Low
58,157.2,3,6.0,74.0,Mixed,712.0,100.0,1,Low
59,108.5,3,20.5,55.0,Unpaved,794.0,77.0,1,Low
60,11.3,4,4.0,301.0,Mixed,1489.0,17.0,4,High
61,138.1,5,11.3,114.0,Mixed,0.0,4.0,2,Medium
62,88.3,2,3.6,174.0,Unpaved,45.0,37.0,2,Medium
63,87.0,1,3.7,219.0,Mixed,917.0,17.0,4,Medium
64,115.3,7,12.3,148.0,Paved,717.0,23.0,3,Medium
65,207.3,3,8.3,203.0,Mixed,866.0,0.0,5,High
66,128.8,4,4.7,112.0,Mixed,525.0,61.0,4,Low
67,113.4,5,6.6,220.0,Paved,949.0,26.0,3,Medium
68,88.7,3,18.6,224.0,Mixed,0.0,26.0,1,Medium
69,121.9,4,13.7,74.0,Mixed,2059.0,38.0,1,Low
70,119.9,3,27.3,128.0,Paved,1051.0,39.0,1,Low
71,156.2,6,20.9,175.0,Mixed,1074.0,48.0,3,Medium
72,88.1,4,11.1,166.0,Paved,160.0,20.0,3,Medium
73,71.3,5,2.1,141.0,Mixed,447.0,80.0,5,Medium
74,93.4,1,4.5,195.0,Paved,1107.0,62.0,1,Low
75,114.8,2,8.1,247.0,Paved,590.0,65.0,4,Medium
76,118.7,6,0.3,16.0,Mixed,961.0,44.0,3,Low
77,119.4,8,11.4,82.0,Unpaved,332.0,82.0,2,Medium
78,60.5,4,39.1,31.0,Paved,0.0,67.0,5,Medium
79,114.9,3,17.6,231.0,Paved,1467.0,60.0,1,Low
80,161.0,3,11.6,151.0,Paved,262.0,80.0,4,Low
81,196.3,4,11.3,123.0,Mixed,1346.0,13.0,5,High
82,179.1,5,22.7,121.0,Mixed,297.0,60.0,1,Low
83,116.4,4,3.7,49.0,Mixed,705.0,38.0,4,Low
84,110.5,3,5.9,170.0,Paved,568.0,37.0,3,Medium
85,194.6,5,10.8,244.0,Unpaved,674.0,75.0,2,Medium
86,113.4,3,8.5,192.0,Mixed,1255.0,89.0,1,Low
87,172.0,4,18.6,92.0,Unpaved,1779.0,87.0,5,High
88,118.3,8,4.6,68.0,Mixed,685.0,55.0,5,Medium
89,10.0,1,5.4,179.0,Paved,873.0,47.0,4,Medium
90,159.8,3,2.9,72.0,Mixed,638.0,86.0,5,Low
91,178.0,2,10.2,107.0,Paved,852.0,30.0,5,Medium
92,100.3,1,4.9,72.0,Unpaved,369.0,97.0,3,Low
93,50.6,3,8.0,157.0,Mixed,179.0,45.0,1,Low
94,211.3,1,0.6,41.0,Mixed,995.0,54.0,3,Low
95,111.2,2,12.2,307.0,Mixed,934.0,42.0,5,High
96,99.4,2,7.6,80.0,Mixed,1482.0,56.0,2,Low
97,146.9,4,13.6,45.0,Paved,830.0,32.0,1,Low
98,284.2,5,2.9,294.0,Unpaved,772.0,46.0,2,High
