enemy_movement_frequency,explosion_reports,drone_activity,supply_lines_detected
12,17,46,2
14,18,68,0
43,8,57,4
7,12,35,3
9,7,31,2
45,12,97,0
4,14,63,3
49,10,70,4
18,11,41,2
46,13,47,0
37,3,73,0
10,0,80,0
42,3,29,2
19,18,20,3
19,8,59,0
20,9,12,4
17,3,0,0
49,19,64,3
9,8,32,2
33,12,37,0
25,11,24,0
29,10,25,4
8,11,76,4
45,17,58,0
30,11,91,0
41,15,32,4
3,4,40,3
5,19,29,1
13,11,56,1
3,10,48,0
25,8,47,4
46,17,71,2
47,2,48,2
38,19,46,1
16,16,55,3
18,13,64,1
48,0,11,0
5,16,68,3
28,7,87,2
10,4,5,4
15,4,88,4
29,8,64,0
24,2,24,1
39,18,0,0
10,8,31,4
6,17,2,2
25,15,48,4
21,0,18,3
24,1,59,4
18,13,28,4
30,13,49,3
25,0,1,1
41,15,72,4
40,14,55,0
35,14,16,4
22,11,59,0
46,15,35,3
12,13,60,4
24,14,16,3
1,14,48,3
1,18,75,1
15,7,59,4
8,1,19,0
27,1,49,0
12,9,2,4
34,2,42,1
40,16,56,1
12,7,49,1
30,3,67,0
20,13,80,3
31,9,49,1
33,0,36,0
7,3,45,0
40,0,41,3
47,16,14,4
1,16,32,4
37,6,79,1
31,19,10,1
39,14,19,3
27,12,23,1
36,1,63,3
40,18,79,0
0,12,93,1
40,10,97,0
9,14,64,2
3,9,87,3
34,8,87,2
9,8,72,1
46,19,85,0
10,0,75,1
13,16,16,2
37,11,88,1
11,9,91,4
44,4,60,2
16,17,14,1
15,14,93,0
34,5,50,1
1,6,26,0
10,16,85,4
40,5,73,1
2,7,60,4
28,11,57,2
17,13,30,0
19,11,90,2
46,9,11,0
13,19,45,4
33,14,30,3
48,6,31,1
30,8,31,4
39,9,98,0
41,9,52,0
17,15,60,0
29,6,45,0
24,4,84,1
18,2,73,2
7,17,79,3
27,10,6,1
7,14,3,0
30,19,90,1
2,4,51,4
2,11,88,0
43,3,30,3
21,14,74,0
16,8,83,3
35,6,35,3
16,9,53,2
13,12,53,2
8,7,16,1
29,11,74,1
20,18,29,3
11,0,98,0
36,15,21,4
31,16,42,4
10,17,26,0
19,10,36,0
34,17,45,2
46,6,34,4
45,17,3,3
10,7,79,1
7,5,79,2
3,6,84,4
26,9,25,0
43,10,99,4
39,12,18,3
37,8,80,2
46,6,44,0
29,8,25,3
43,12,21,1
47,2,57,2
47,2,62,3
26,0,27,3
20,19,64,0
19,1,43,1
3,2,99,3
10,14,42,2
12,5,36,3
8,12,65,4
3,0,16,2
11,19,39,2
8,18,37,3
12,0,84,0
47,1,60,2
25,14,8,4
37,13,76,0
41,18,74,0
12,10,60,0
38,14,79,2
27,5,15,0
18,19,1,3
23,8,71,0
18,4,42,4
48,19,41,1
12,1,76,4
12,5,56,2
27,17,80,0
1,18,87,0
9,8,66,3
21,5,29,0
12,13,12,4
8,12,18,2
32,10,6,1
13,11,8,0
47,18,82,1
19,18,53,0
14,18,85,2
31,12,81,4
32,13,60,2
16,17,86,1
23,11,1,0
29,3,49,1
12,9,74,4
46,16,30,2
47,3,32,1
15,11,77,1
1,12,79,4
16,3,10,0
31,9,32,1
42,2,6,4
7,14,30,0
2,1,47,0
11,16,46,2
19,5,77,4
15,7,91,0
13,2,52,2
15,17,79,3
48,0,18,4
42,15,80,3
48,6,89,0
32,2,5,4
29,3,48,2
11,8,72,0
14,4,49,4
17,18,80,4
27,14,94,3
22,7,11,0
13,5,22,2
29,17,53,2
32,18,68,0
44,14,99,0
14,6,58,1
6,9,35,3
14,5,2,0
41,13,57,0
45,16,87,1
37,8,54,1
45,18,56,4
43,4,16,2
10,6,38,3
28,18,89,4
30,19,67,0
24,6,54,1
23,1,44,2
18,15,75,4
1,12,0,2
21,7,20,1
19,5,82,4
32,5,20,4
7,8,51,2
24,3,81,1
45,10,42,0
8,4,51,4
33,16,66,0
22,19,43,1
4,6,31,4
24,14,9,4
7,14,63,0
15,13,78,3
47,12,68,0
44,10,67,0
14,12,27,3
0,8,52,1
21,9,50,1
2,3,52,4
37,16,3,2
13,13,78,2
35,17,16,4
17,10,66,2
46,15,73,0
40,0,46,0
17,6,55,3
2,9,22,3
9,8,17,4
48,2,0,4
38,13,34,4
46,14,63,0
0,1,57,2
26,13,94,4
26,15,58,4
10,6,0,0
48,3,2,0
4,17,66,0
6,4,36,2
18,5,82,4
28,6,28,1
14,14,88,1
34,0,32,4
46,3,99,4
36,0,60,4
11,10,92,4
29,17,89,2
19,13,3,1
36,10,13,3
2,9,90,1
8,16,32,1
40,3,21,0
38,14,47,4
25,15,2,4
1,12,86,4
22,8,84,0
22,10,22,2
20,10,67,2
15,5,20,3
8,0,42,2
12,5,94,2
27,12,84,4
26,4,25,1
16,14,40,2
37,17,98,2
35,19,37,0
0,13,87,3
