scenario_id,terrain,weapon,distance_to_target_m,enemy_cover,suppression_needed,visibility_km,recommended_mode
1,Snow,Rifle,321,Low,1,3.0,Single
2,Forest,Rifle,235,High,1,4.7,Single
3,Open,LMG,231,Low,1,5.5,Suppressive
4,Forest,Mortar,129,High,0,4.2,Single
5,Snow,Mortar,30,Medium,0,4.4,Burst
6,Forest,LMG,437,Medium,0,4.9,Suppressive
7,Mountain,LMG,314,High,1,6.5,Suppressive
8,BuiltUp,MMG,48,Medium,1,6.1,Suppressive
9,Forest,MMG,357,Medium,1,3.8,Suppressive
10,BuiltUp,Rifle,440,Low,0,6.2,Single
11,Snow,LMG,366,Medium,0,8.4,Suppressive
12,BuiltUp,Mortar,116,High,0,2.0,Burst
13,Forest,Rifle,140,Medium,0,4.1,Single
14,Forest,Rifle,167,Low,0,4.0,Single
15,Open,Rifle,379,High,1,5.2,Single
16,Forest,Rifle,321,Medium,1,1.4,Single
17,BuiltUp,Mortar,668,Medium,1,7.7,Smoke
18,Open,Rifle,30,Medium,0,5.1,Burst
19,Forest,LMG,242,High,1,5.6,Suppressive
20,Forest,MMG,30,Low,1,5.4,Suppressive
21,Snow,Mortar,339,High,0,4.0,Single
22,Open,LMG,410,High,0,6.4,Suppressive
23,Snow,LMG,466,Low,0,5.0,Single
24,Snow,LMG,278,High,1,0.8,Suppressive
25,Snow,MMG,30,High,0,4.8,Suppressive
26,Mountain,MMG,242,Medium,1,4.4,Suppressive
27,Snow,MMG,315,High,1,6.4,Suppressive
28,BuiltUp,LMG,99,Medium,0,10.4,Suppressive
29,Forest,MMG,210,High,1,5.8,Suppressive
30,Mountain,Rifle,58,Medium,0,9.2,Burst
31,Snow,MMG,158,Medium,0,3.6,Suppressive
32,Forest,Mortar,386,Medium,1,3.8,Single
33,Open,LMG,352,Low,1,4.5,Suppressive
34,Open,LMG,40,High,1,5.9,Suppressive
35,Forest,Rifle,144,High,0,3.7,Single
36,BuiltUp,MMG,258,High,1,1.8,Suppressive
37,Forest,MMG,283,Low,0,5.0,Single
38,Forest,Mortar,150,Medium,0,2.7,Single
