previous_ammo_used,enemy_count,operation_duration,weather,terrain,recommended_ammo_level
621,95,51,snow,mountain,high
609,186,59,rain,plains,low
78,26,167,fog,urban,low
146,107,183,fog,mountain,medium
59,463,41,fog,mountain,low
291,207,39,rain,mountain,high
875,107,141,snow,mountain,medium
281,74,192,snow,forest,high
838,339,11,clear,urban,low
333,350,147,snow,plains,medium
764,14,139,clear,plains,high
808,11,77,rain,forest,medium
851,31,127,fog,urban,medium
825,121,46,fog,mountain,low
775,66,45,fog,forest,high
249,75,1,snow,urban,medium
994,339,168,clear,mountain,medium
128,107,108,clear,forest,high
962,153,19,rain,urban,medium
904,377,76,snow,plains,medium
905,444,72,rain,plains,medium
222,134,189,clear,urban,high
516,176,109,clear,plains,high
630,95,12,fog,urban,high
465,85,189,snow,mountain,high
989,353,161,clear,urban,low
498,433,45,fog,mountain,medium
136,303,90,snow,forest,high
150,453,103,rain,urban,medium
57,68,197,snow,forest,medium
894,147,8,snow,plains,low
249,108,153,clear,mountain,high
554,201,91,clear,urban,high
136,252,174,snow,forest,medium
92,328,87,clear,mountain,high
434,58,158,clear,mountain,medium
670,457,175,clear,plains,medium
484,41,177,fog,plains,low
457,400,175,fog,mountain,low
532,286,84,snow,mountain,low
713,29,82,clear,urban,medium
66,163,146,fog,mountain,high
694,392,194,snow,urban,low
197,77,68,clear,mountain,high
326,375,161,rain,plains,low
281,381,127,clear,urban,low
875,223,164,clear,forest,medium
976,152,82,fog,plains,low
415,385,147,snow,urban,low
277,241,156,snow,urban,medium
700,222,168,fog,forest,high
485,88,84,clear,urban,low
448,223,113,rain,mountain,medium
260,125,76,clear,forest,low
440,101,122,clear,plains,medium
548,279,143,rain,plains,high
589,420,41,fog,mountain,high
612,390,167,snow,plains,medium
540,498,2,fog,urban,medium
491,177,191,fog,urban,medium
310,67,29,clear,mountain,high
822,293,105,snow,plains,low
399,35,194,snow,plains,high
401,378,51,fog,mountain,medium
569,456,75,rain,forest,medium
369,75,10,fog,plains,high
187,418,142,rain,forest,medium
599,257,51,snow,plains,high
672,263,118,fog,plains,medium
417,396,121,clear,plains,low
269,465,39,fog,plains,low
386,53,28,snow,urban,medium
272,106,3,clear,forest,high
697,51,84,clear,forest,low
817,236,198,rain,plains,high
409,271,155,clear,plains,medium
970,176,117,clear,forest,high
378,445,2,fog,urban,low
512,288,93,snow,mountain,high
995,98,166,rain,mountain,high
610,388,131,fog,forest,medium
853,187,144,clear,plains,medium
431,436,94,clear,plains,medium
885,412,40,rain,urban,low
639,206,2,snow,mountain,low
666,316,81,rain,urban,medium
218,276,169,fog,mountain,medium
266,277,12,rain,forest,low
427,83,163,clear,mountain,low
168,17,65,fog,urban,low
239,417,55,clear,urban,low
816,485,45,snow,urban,medium
419,306,101,clear,forest,low
827,173,62,clear,mountain,medium
198,494,49,rain,mountain,high
725,94,127,clear,urban,high
701,81,153,fog,mountain,low
908,64,23,fog,plains,high
537,402,152,snow,plains,high
819,56,38,fog,plains,high
423,408,28,rain,mountain,low
830,441,21,snow,forest,low
742,247,182,fog,forest,high
209,113,107,rain,forest,medium
400,219,146,fog,forest,high
961,51,164,fog,plains,low
337,325,99,clear,plains,low
337,477,173,fog,urban,low
941,463,119,fog,mountain,high
275,277,73,rain,mountain,medium
572,395,181,rain,forest,low
571,272,122,clear,plains,low
832,345,30,fog,forest,high
322,396,188,clear,urban,medium
985,374,108,fog,mountain,high
451,268,98,snow,mountain,low
232,292,32,snow,forest,medium
714,123,195,clear,urban,medium
537,372,195,clear,mountain,low
876,49,156,clear,urban,medium
895,495,172,rain,urban,medium
173,426,79,rain,forest,high
675,229,41,rain,plains,low
839,138,63,clear,forest,low
463,17,23,fog,plains,low
774,110,104,snow,urban,low
221,425,75,clear,plains,low
337,389,48,rain,urban,medium
484,185,160,rain,mountain,high
735,116,57,clear,mountain,low
162,110,118,clear,mountain,high
937,269,100,rain,forest,high
966,487,124,fog,forest,medium
171,463,161,rain,urban,low
593,375,152,rain,mountain,medium
271,255,167,clear,forest,low
680,284,34,fog,mountain,medium
88,41,184,rain,forest,high
546,146,156,rain,plains,low
829,21,165,snow,plains,high
282,404,7,clear,mountain,high
992,311,196,snow,urban,medium
579,384,165,snow,forest,low
198,25,56,rain,forest,high
446,138,65,clear,plains,medium
710,72,193,fog,plains,low
687,118,47,rain,urban,low
953,384,148,fog,urban,high
351,30,19,fog,urban,low
409,167,157,clear,mountain,high
287,278,188,snow,plains,low
696,171,146,clear,mountain,medium
712,269,163,fog,plains,high
285,421,171,rain,plains,high
785,111,126,fog,forest,low
252,232,139,rain,plains,low
305,68,49,rain,plains,high
647,256,113,clear,mountain,low
711,137,38,fog,plains,medium
284,292,64,snow,mountain,low
394,334,69,fog,urban,medium
583,34,136,fog,plains,medium
909,140,162,snow,plains,medium
846,362,176,clear,mountain,medium
830,205,116,fog,urban,medium
515,290,184,fog,forest,low
819,413,65,rain,urban,medium
590,427,31,fog,mountain,low
262,163,132,snow,urban,medium
512,391,113,rain,mountain,high
485,142,109,clear,mountain,medium
332,236,178,rain,forest,high
611,198,69,snow,plains,medium
656,485,158,snow,mountain,medium
512,486,120,rain,mountain,medium
456,274,88,clear,forest,high
137,381,187,rain,mountain,high
93,495,67,clear,plains,medium
510,443,75,rain,forest,low
327,143,45,snow,plains,medium
732,220,4,fog,plains,high
470,69,154,fog,forest,medium
750,437,155,clear,mountain,high
402,386,174,clear,plains,high
745,404,107,clear,plains,high
564,459,192,snow,plains,medium
752,440,51,rain,plains,high
679,373,50,snow,forest,high
68,373,6,fog,forest,medium
