patrol_id,unit,duration_min,distance_km,avg_speed_kmph,halts_count,comms_silence_gaps_min,heart_rate_avg,deviation_from_plan_m,anomaly_label
1,RifleCoy,245,19.1,4.68,8,4.4,119.5,193.6,0
2,SF,277,3.5,1.0,8,3.0,108.7,111.3,1
3,AssamRifles,149,10.1,4.07,11,4.2,114.7,109.8,0
4,RifleCoy,199,15.6,4.69,4,0.7,121.4,0.0,0
5,SF,251,7.5,1.8,5,3.1,111.8,157.1,0
6,RifleCoy,267,4.3,1.0,3,0.2,121.8,17.7,1
7,SF,190,9.4,2.97,1,0.2,105.0,77.8,0
8,SF,350,17.2,2.95,8,5.4,128.0,37.7,0
9,RR,268,7.6,1.71,7,15.2,102.4,94.4,0
10,RR,286,10.2,2.14,7,7.5,99.7,172.0,0
11,RR,283,14.1,2.99,8,3.2,103.0,22.3,0
12,AssamRifles,146,9.1,3.74,14,0.3,95.4,36.9,0
13,RifleCoy,233,9.8,2.52,6,0.2,121.3,88.4,1
14,SF,239,8.7,2.19,4,0.9,86.4,174.2,0
15,RifleCoy,224,9.2,2.45,6,18.6,103.5,54.5,1
16,AssamRifles,252,6.2,1.47,8,2.5,114.9,37.0,0
17,RR,113,10.7,5.69,3,9.3,110.2,89.8,0
18,RR,247,17.3,4.21,3,6.1,109.4,80.4,0
19,RifleCoy,221,19.9,5.41,5,4.6,107.9,18.5,0
20,RifleCoy,113,18.2,8.0,4,14.8,112.5,55.7,1
21,SF,265,12.7,2.87,4,1.3,95.0,0.0,0
22,RifleCoy,169,20.3,7.21,5,3.0,102.8,78.2,1
23,SF,217,23.5,6.5,6,10.0,106.1,5.2,1
24,SF,224,12.9,3.46,10,4.0,116.8,228.1,0
25,RR,129,7.0,3.28,8,1.4,124.1,113.3,0
26,RifleCoy,135,18.6,8.0,3,1.2,108.0,95.2,1
27,RR,272,6.0,1.32,3,7.0,121.0,111.6,0
28,SF,203,7.6,2.24,6,0.1,111.3,50.5,0
29,RR,216,2.0,1.0,11,12.3,108.9,71.5,1
30,RR,244,15.6,3.85,2,0.1,121.8,110.3,0
31,SF,134,2.0,1.0,5,5.0,88.3,21.4,1
32,AssamRifles,215,17.0,4.73,7,4.6,116.6,121.0,0
33,AssamRifles,233,21.0,5.42,5,4.3,99.7,206.4,0
34,RifleCoy,345,20.6,3.59,4,3.2,125.6,0.0,0
35,RR,184,5.7,1.85,10,9.6,100.1,112.0,0
36,RifleCoy,287,2.7,1.0,10,5.4,105.3,30.9,1
37,RR,239,8.8,2.21,4,7.6,86.5,121.5,0
38,RifleCoy,171,16.4,5.75,3,0.6,115.5,100.3,0
39,RifleCoy,202,18.0,5.35,9,0.3,103.7,192.8,0
40,SF,291,15.3,3.16,9,0.1,101.9,182.1,0
41,AssamRifles,286,14.6,3.07,3,0.8,110.4,0.0,0
42,AssamRifles,208,23.8,6.87,7,5.5,85.0,125.9,1
43,AssamRifles,260,9.6,2.22,8,3.4,99.6,124.8,0
44,SF,177,8.1,2.75,1,7.0,107.2,151.3,1
45,AssamRifles,229,6.1,1.59,8,1.1,132.0,108.3,0
46,SF,214,14.2,3.97,3,2.3,112.8,115.8,0
47,RR,295,11.1,2.26,2,11.0,115.9,18.0,0
48,SF,267,16.1,3.62,6,13.7,110.9,105.3,0
49,RifleCoy,199,9.7,2.94,5,12.7,161.1,67.0,0
50,RifleCoy,205,15.1,4.43,6,8.5,123.5,121.0,0
51,RR,238,10.1,2.54,4,5.8,79.5,74.3,0
52,RR,230,11.2,2.92,12,12.2,113.3,106.8,0
53,RifleCoy,223,11.7,3.14,10,6.3,126.4,117.0,0
54,AssamRifles,218,3.5,1.0,7,15.4,88.2,118.1,1
