terrain_type,mission_duration,enemy_strength,time_of_day
plains,111,267,day
urban,180,139,day
plains,188,310,day
plains,52,246,night
forest,24,390,day
mountain,26,307,day
plains,125,274,day
urban,90,291,night
mountain,122,54,day
urban,10,193,night
mountain,17,301,day
mountain,2,18,day
plains,112,393,night
forest,27,463,night
plains,71,236,day
mountain,176,265,night
plains,118,196,night
plains,9,417,day
mountain,86,207,day
mountain,23,265,day
plains,199,117,night
plains,73,378,day
plains,27,356,day
urban,93,40,night
plains,81,83,night
urban,84,279,day
forest,199,452,night
urban,43,282,night
plains,7,166,night
forest,92,316,day
urban,83,21,day
urban,191,208,day
mountain,84,477,night
forest,44,444,day
mountain,167,21,day
forest,40,206,night
urban,135,480,night
mountain,198,214,day
plains,25,406,night
urban,59,433,day
forest,141,484,day
forest,103,82,day
mountain,86,60,night
mountain,112,84,night
forest,86,310,day
urban,98,62,day
mountain,62,22,day
plains,8,212,day
forest,113,469,night
plains,173,139,day
forest,146,336,day
plains,60,486,night
urban,60,14,day
forest,106,73,day
urban,2,345,day
mountain,194,391,day
forest,91,87,day
urban,14,113,night
plains,48,48,night
urban,103,487,night
forest,56,458,night
urban,12,402,day
plains,55,136,night
plains,156,497,night
plains,110,22,night
mountain,4,97,night
forest,36,487,night
plains,178,440,night
mountain,131,298,night
plains,1,468,night
urban,17,152,day
forest,199,476,night
urban,62,487,day
mountain,48,176,night
urban,62,55,night
urban,69,23,night
plains,147,124,day
urban,103,328,day
plains,110,229,night
plains,162,70,day
forest,177,145,night
mountain,175,450,day
mountain,91,193,day
mountain,114,497,day
plains,178,162,night
mountain,89,102,day
plains,154,162,day
forest,56,439,night
mountain,78,250,day
plains,14,348,night
mountain,25,436,night
mountain,132,240,day
forest,32,37,night
urban,82,365,day
mountain,78,245,day
forest,193,334,night
mountain,106,342,day
mountain,189,279,day
mountain,20,75,night
mountain,74,317,night
urban,10,407,day
urban,123,220,night
mountain,34,83,night
mountain,189,173,night
forest,155,302,night
forest,40,475,day
plains,193,184,day
urban,127,120,night
mountain,33,264,day
urban,196,490,night
forest,71,264,night
urban,137,9,day
urban,144,301,day
mountain,133,112,day
mountain,98,347,day
forest,124,364,night
mountain,151,121,night
forest,43,361,day
forest,114,449,night
plains,89,335,day
plains,185,443,day
plains,179,335,day
urban,13,17,night
plains,128,146,night
mountain,152,192,day
mountain,139,460,day
plains,52,285,day
urban,17,470,day
forest,165,119,night
urban,13,432,night
urban,190,240,day
forest,84,342,day
forest,97,14,night
forest,106,203,day
mountain,96,256,night
forest,8,54,night
forest,56,432,day
urban,104,146,night
urban,83,275,night
plains,198,20,night
urban,44,6,night
forest,188,162,day
mountain,103,34,night
urban,112,86,night
urban,169,35,night
forest,149,240,day
urban,42,337,day
urban,157,152,day
forest,193,181,night
urban,145,374,day
mountain,30,39,day
plains,26,27,day
urban,181,110,night
mountain,125,101,day
urban,19,234,day
plains,53,231,day
forest,85,375,night
plains,17,104,night
urban,174,449,day
plains,104,472,day
plains,181,59,day
forest,105,199,night
urban,104,12,night
plains,192,428,day
plains,173,319,night
forest,177,132,day
mountain,147,36,night
urban,124,97,day
mountain,199,11,night
mountain,81,262,day
forest,193,345,night
forest,37,394,day
urban,121,224,day
mountain,70,244,day
plains,154,110,day
mountain,130,40,night
forest,59,420,day
plains,118,49,night
plains,133,302,night
forest,37,313,day
plains,31,370,day
mountain,99,13,day
forest,94,463,day
urban,176,91,night
forest,6,374,night
urban,15,335,night
urban,143,181,night
forest,189,134,day
forest,16,199,night
urban,20,15,day
urban,77,310,day
plains,44,423,night
forest,170,126,night
forest,46,403,night
plains,95,239,night
forest,162,335,night
plains,64,35,night
plains,157,352,day
forest,131,450,day
mountain,9,416,day
urban,153,228,night
forest,42,157,day
mountain,174,216,day
plains,73,96,day
mountain,84,413,day
forest,59,335,day
forest,21,471,day
mountain,150,352,night
forest,157,133,night
urban,63,447,night
mountain,73,201,day
plains,61,462,night
mountain,64,46,night
mountain,69,370,day
mountain,168,422,night
mountain,129,232,day
plains,106,198,night
plains,65,22,day
plains,122,337,day
mountain,62,247,night
urban,182,393,day
urban,103,280,night
plains,60,454,day
urban,46,131,night
urban,5,79,night
urban,113,66,day
urban,150,482,night
urban,181,484,night
forest,70,292,night
plains,160,190,day
mountain,11,182,day
urban,138,170,night
forest,167,187,night
mountain,98,32,day
forest,31,334,day
urban,12,474,night
urban,108,251,day
urban,80,341,day
urban,166,26,night
mountain,67,431,day
mountain,194,471,day
forest,52,469,day
plains,133,476,night
urban,139,424,day
forest,25,100,night
forest,35,126,day
forest,163,254,day
urban,22,498,night
urban,165,383,night
forest,183,312,night
urban,96,424,night
forest,117,416,day
mountain,192,338,night
urban,20,446,night
mountain,106,424,night
plains,4,330,day
urban,18,141,day
plains,51,281,night
forest,196,324,night
urban,20,336,night
urban,122,65,night
urban,137,254,day
plains,80,482,night
plains,154,99,day
forest,102,300,night
mountain,25,188,night
mountain,196,264,day
plains,169,291,night
urban,59,159,night
mountain,45,190,night
mountain,41,413,night
plains,38,73,day
forest,117,330,night
plains,19,265,night
plains,14,119,day
urban,127,351,night
plains,149,12,day
urban,143,269,night
forest,3,275,night
urban,37,488,night
forest,117,253,day
forest,174,109,day
forest,16,267,night
plains,142,228,day
urban,9,332,night
mountain,7,499,day
plains,142,375,night
forest,134,275,day
mountain,15,169,night
plains,180,87,day
mountain,72,299,day
forest,162,138,day
mountain,104,215,day
mountain,129,317,night
forest,96,96,night
mountain,122,341,day
plains,115,494,night
mountain,197,407,day
urban,148,131,night
plains,80,195,day
