reaction_time,teamwork_score,discipline_score,stress_level,sleep_hours
329,9,6,9,8.4
307,2,9,2,8.6
396,6,9,2,3.1
317,2,3,6,3.5
260,5,1,6,4.5
334,4,1,8,7.0
322,7,3,2,8.3
284,7,5,9,5.8
274,6,3,2,6.6
285,5,9,1,4.1
273,1,9,2,7.8
286,3,3,7,8.8
257,9,3,8,4.6
319,1,5,5,6.0
315,5,2,6,3.5
317,2,6,1,6.4
296,4,7,6,6.0
291,1,9,8,3.9
372,3,6,3,5.7
303,7,3,1,5.0
363,3,5,4,6.1
250,4,4,1,6.5
329,2,5,8,3.1
263,3,8,5,7.6
272,9,8,1,7.3
279,3,6,8,5.2
276,5,1,9,3.3
276,2,8,2,7.5
360,4,8,9,8.7
302,7,2,8,4.4
311,7,4,7,4.9
277,3,2,3,4.1
342,5,4,2,6.5
317,1,7,7,3.9
284,1,9,5,5.1
220,5,8,6,7.2
310,9,9,4,6.4
328,1,8,2,5.3
251,1,2,9,5.5
285,4,7,3,6.4
326,4,2,7,3.0
221,2,2,8,3.5
267,9,4,2,8.3
318,9,1,6,3.5
355,2,5,8,7.2
409,9,6,7,8.5
397,6,9,3,4.6
307,8,8,1,5.2
275,4,2,6,6.4
346,2,1,8,8.3
272,2,2,6,8.7
261,9,7,5,7.4
284,1,4,8,3.5
278,7,5,2,7.0
320,3,7,1,5.5
269,3,3,1,5.8
304,2,2,4,3.3
379,6,7,6,4.1
306,2,5,9,7.7
375,4,1,1,5.7
360,9,1,1,4.8
329,9,9,5,5.3
282,6,5,5,8.1
352,4,1,5,7.5
287,7,7,6,4.6
299,1,9,8,3.7
316,4,1,3,4.5
299,5,4,9,8.5
263,8,3,1,6.5
223,2,5,4,6.2
347,5,7,9,6.6
328,6,8,8,5.2
213,5,2,9,7.8
262,9,7,1,6.1
308,1,1,9,3.7
322,3,7,3,3.8
224,2,8,9,6.2
295,3,2,1,8.6
326,9,9,1,4.9
282,9,1,9,8.2
312,2,6,6,7.6
275,3,1,4,4.5
345,4,3,7,3.2
260,9,6,5,3.6
242,3,3,7,7.4
301,7,8,8,4.2
228,3,5,8,5.2
194,7,2,1,6.0
354,7,4,8,7.4
250,9,9,6,3.7
233,2,4,4,5.4
259,6,8,8,5.9
257,9,5,3,6.2
292,2,1,4,7.9
245,2,7,6,4.0
324,5,3,7,7.8
332,8,8,4,7.2
236,9,3,4,6.3
269,2,1,7,7.2
273,5,5,6,5.5
291,7,2,8,3.8
354,6,4,1,7.0
357,6,1,7,6.1
424,7,9,7,6.8
186,3,6,7,5.0
253,3,8,7,8.4
390,9,4,8,6.5
209,8,9,9,3.5
389,5,2,9,5.7
307,6,9,2,7.5
309,1,5,7,7.8
236,1,6,7,6.0
277,4,3,4,8.4
387,2,4,9,4.6
297,7,6,8,5.5
277,2,7,1,8.4
320,2,1,2,8.4
290,5,7,2,7.1
317,4,1,8,8.2
257,8,5,1,3.5
296,4,6,4,8.2
267,6,2,5,4.9
209,5,9,9,4.1
324,2,6,7,4.4
238,8,7,8,5.5
291,2,8,9,4.5
346,9,1,7,4.9
225,9,8,5,3.8
330,3,4,5,4.8
285,4,8,6,6.4
251,8,6,5,5.7
401,9,9,9,5.1
299,3,4,3,7.5
271,5,2,3,8.4
260,8,2,7,7.5
344,3,5,7,5.0
269,7,9,6,7.5
337,8,3,3,3.9
299,3,8,7,3.8
355,2,4,5,5.1
247,7,6,7,7.8
254,9,6,2,4.5
285,1,3,6,3.4
290,3,5,8,3.8
282,5,3,1,8.2
431,3,1,4,6.8
403,1,7,1,4.5
314,7,4,1,6.3
320,7,7,8,6.2
288,8,3,7,6.9
247,5,5,1,4.4
290,5,5,2,8.2
338,5,2,4,4.9
365,1,2,1,7.2
349,5,4,3,3.1
224,6,4,8,5.2
285,1,4,8,5.1
226,7,6,8,6.3
358,1,2,6,3.4
279,2,6,6,7.7
297,2,7,5,4.3
324,5,3,9,7.1
438,7,8,4,7.8
313,1,2,7,6.4
288,1,8,1,7.4
237,1,5,9,7.0
372,6,2,7,5.1
290,2,7,9,7.9
382,1,2,7,4.8
355,6,6,2,6.4
