post_id,altitude_m,temp_c,wind_kph,snowfall_cm_7d,acclimatized_days,shelter_quality_1to5,supply_gap_days,med_facility_score_1to5,risk_level,casualty_occurred
1,3741,-17.5,27,0,5,1,4,1,High,1
2,2989,-12.9,48,64,9,1,5,5,High,0
3,3516,-9.9,30,45,10,4,7,1,High,0
4,3740,-15.0,35,50,13,4,3,3,Medium,0
5,3830,-8.2,36,24,2,4,2,3,Medium,0
6,2745,-14.1,37,53,15,5,1,4,Low,0
7,5317,-8.8,46,53,15,4,0,4,Medium,0
8,4209,-9.6,38,26,9,5,0,2,Medium,1
9,4719,-8.8,27,7,10,2,3,2,High,0
10,3346,-21.4,16,38,11,5,5,4,Medium,0
11,3648,-4.3,32,27,10,2,1,3,Low,0
12,3521,-18.1,26,67,13,4,4,1,High,0
13,3171,-13.3,35,31,8,4,1,4,Low,0
14,3954,-16.5,19,32,6,2,1,1,High,0
15,2969,-11.5,24,46,12,3,0,2,Low,0
16,3918,-12.8,28,30,2,5,5,1,High,1
17,3201,-7.4,18,43,13,1,6,4,Medium,1
18,3739,-11.7,28,19,13,4,1,3,Low,0
19,4376,-14.7,35,7,6,5,1,4,Medium,0
20,3420,-24.6,47,11,17,5,4,5,Medium,0
21,3968,-5.8,20,23,8,4,6,5,Low,1
22,3194,-8.4,37,32,7,2,6,5,Medium,0
23,2791,-5.5,8,39,6,4,2,3,Low,0
24,4497,-13.3,27,39,12,5,2,4,Medium,0
25,3948,-9.5,28,30,8,3,0,5,Low,0
26,3419,-16.6,36,8,2,2,2,4,Medium,0
27,3917,-17.2,22,43,11,4,3,2,Medium,0
28,2890,-14.0,30,0,8,1,0,5,Low,0
29,3765,-5.5,39,6,15,4,1,5,Low,0
30,3630,-13.9,16,30,11,5,3,3,Low,0
31,3890,-12.4,8,45,11,5,0,4,Low,0
32,4485,-10.3,38,42,15,1,3,3,High,1
33,4368,-11.8,18,27,10,2,5,3,Medium,1
34,2666,-4.9,32,38,13,5,4,4,Low,0
35,2302,-17.2,47,8,6,2,2,2,Medium,0
36,3647,-11.3,36,18,18,2,5,4,Low,0
37,3601,-8.7,18,19,11,4,5,2,Low,1
38,2818,-23.5,13,10,3,2,3,3,Medium,0
39,2923,-10.1,20,22,10,5,3,2,Low,0
40,3037,-2.6,29,25,10,5,1,2,Low,0
41,4301,-14.5,25,20,10,3,2,2,Medium,0
42,3216,-19.6,41,24,0,2,5,5,High,0
43,2597,-8.7,34,0,7,3,6,5,Low,1
44,3461,-10.7,20,37,3,4,2,3,Low,1
45,3498,-1.3,36,21,3,3,2,4,Low,1
46,2880,-8.9,43,21,10,2,1,2,Low,0
47,3854,-18.6,24,2,7,5,2,5,Low,0
48,4182,-18.9,32,61,8,4,0,4,Medium,0
49,3286,-6.0,19,61,5,2,3,2,Medium,0
50,2597,-9.5,26,0,16,4,0,4,Low,0
51,3335,-12.4,19,25,10,1,1,1,Medium,0
52,3681,-10.8,40,48,2,2,2,2,High,0
53,2205,-8.9,22,22,13,1,0,4,Low,0
54,3788,-9.4,32,17,8,3,1,2,Low,0
55,3275,-22.5,34,16,15,2,0,2,Medium,1
56,3526,-3.5,59,36,9,1,5,1,High,1
57,3326,-3.0,25,82,6,5,5,4,Medium,0
58,3047,0.7,20,46,7,3,1,3,Low,1
59,3433,-0.9,27,7,7,2,8,5,Medium,0
60,3194,-2.0,19,17,12,2,1,2,Low,0
61,3285,-14.0,23,24,6,5,2,2,Low,1
62,2971,-9.9,35,12,16,5,3,2,Low,1
63,3822,-3.8,21,9,11,1,4,2,Medium,0
64,4242,-24.6,33,44,11,1,2,5,High,0
65,2976,-13.5,33,19,10,1,5,3,Medium,0
66,3429,-23.9,30,37,9,4,5,1,High,0
67,2842,-10.0,34,65,3,3,2,3,Low,1
68,3732,-3.1,25,19,11,2,2,5,Low,0
69,3634,-11.9,7,35,19,3,1,4,Low,0
70,3152,-16.0,28,9,13,5,0,1,Low,0
71,3450,-10.0,28,38,12,3,1,1,Low,0
72,4019,-9.1,24,56,2,3,4,4,Medium,1
73,2535,-8.6,34,54,15,1,3,2,Medium,0
74,2724,-20.5,35,30,14,5,2,5,Low,0
75,3849,-10.3,30,19,15,3,1,4,Low,1
76,3532,-10.7,28,34,5,2,1,3,Medium,0
77,3457,-5.4,40,31,8,1,2,3,Medium,1
78,4065,-12.5,17,39,2,3,2,4,Medium,0
79,3922,1.8,24,17,2,5,2,5,Low,0
80,4529,-11.4,37,21,7,2,2,1,High,0
81,4036,-15.3,33,25,12,5,1,1,Medium,0
82,3815,-19.0,25,43,7,5,3,2,High,0
83,3467,-15.6,31,45,6,5,4,5,Medium,1
84,3413,-17.6,22,21,11,4,1,3,Low,0
85,3498,-13.1,29,6,0,2,0,3,Low,0
86,3633,-0.2,34,37,7,5,0,2,Low,0
87,2775,-22.2,40,44,11,4,5,3,Medium,0
88,3658,-21.7,34,27,7,1,4,2,High,0
89,3354,-13.6,41,15,16,4,4,2,Low,0
90,3714,-21.5,13,20,6,1,4,4,High,0
91,3153,-18.9,5,62,7,4,5,1,High,0
92,3104,-9.6,6,34,5,5,2,5,Low,0
93,3638,-12.4,39,50,6,4,3,5,Medium,0
94,3786,-8.9,34,13,11,4,1,1,Low,0
95,3137,-7.9,20,54,14,5,2,5,Low,0
96,4291,-2.6,24,47,20,1,6,3,Medium,0
97,4287,-9.3,31,27,12,5,1,3,Low,0
98,2550,-3.6,20,42,4,2,0,5,Low,0
99,3033,-11.3,19,55,16,4,2,4,Low,1
100,3569,-9.3,21,7,12,2,2,5,Low,0
101,3722,-9.4,20,19,10,5,3,2,Low,1
102,4779,-10.0,28,40,15,5,4,2,Medium,0
103,3584,-10.6,44,30,21,3,2,1,Low,1
104,3430,0.7,17,38,9,2,7,3,Low,1
105,2817,-7.1,27,43,5,3,5,4,Low,0
106,2548,-15.1,32,39,16,2,1,5,Low,0
107,3419,2.0,33,24,23,3,2,2,Low,0
108,4734,-14.6,22,26,10,3,4,3,Medium,0
109,3372,-12.0,34,61,10,2,1,3,Medium,0
110,3036,-17.8,32,31,10,5,0,4,Low,0
111,3771,-7.0,23,57,12,1,6,4,High,0
112,2296,-0.2,14,58,2,5,0,4,Low,0
113,3547,-22.4,16,14,11,1,4,4,High,0
114,3994,-13.9,35,44,11,2,4,2,High,0
115,2931,-4.2,42,8,11,4,1,4,Low,0
116,4321,-19.4,28,62,10,5,6,3,High,1
117,3895,-8.0,42,33,10,3,3,3,Low,0
118,4326,-21.1,27,32,0,5,3,5,High,0
119,2674,-9.1,16,12,6,2,0,3,Low,1
120,3391,-11.5,25,17,14,4,0,3,Low,0
121,4053,2.0,42,34,15,4,2,2,Low,1
122,2601,-6.8,21,31,7,5,5,3,Low,0
123,4068,-27.2,26,22,5,5,0,1,High,0
124,3392,-12.5,39,47,13,5,3,3,Low,0
125,4063,-6.2,39,29,11,2,3,5,Medium,0
126,3630,-14.9,31,9,9,1,5,5,High,0
127,4346,-15.2,33,44,14,1,5,4,High,0
128,2724,-14.9,38,6,4,3,3,2,Low,0
129,3697,-8.2,31,0,15,2,2,5,Low,1
130,2593,-20.8,40,31,2,4,1,1,Medium,0
131,3751,-15.9,34,9,5,3,0,1,Medium,0
132,3696,-4.8,26,33,4,4,1,4,Low,0
133,3328,-15.4,32,46,7,4,0,2,Low,0
134,3029,-15.8,24,49,11,5,2,2,Low,0
135,3304,-21.6,18,39,13,4,2,3,Low,1
136,3558,-7.5,16,3,9,4,2,1,Low,1
137,3670,-9.0,25,15,3,2,3,1,High,0
138,4659,-5.2,31,30,0,5,2,1,High,0
139,4024,-12.8,46,30,14,5,4,1,High,1
140,3147,-9.8,32,11,13,3,3,5,Low,0
141,3847,-9.8,29,20,15,5,2,2,Low,1
142,4028,-22.0,27,46,9,1,0,3,High,0
143,3106,2.0,24,40,13,2,2,5,Low,0
144,3921,-5.2,29,23,6,3,5,2,Medium,1
145,2607,-11.4,25,50,12,1,4,4,Medium,0
146,3084,-13.6,24,3,7,4,4,1,Medium,1
147,2645,-2.7,36,46,5,1,4,3,Medium,0
148,3373,-11.3,18,43,11,3,5,2,Low,0
149,3215,-5.6,25,44,10,5,4,4,Low,1
150,3261,-16.0,21,35,14,2,3,1,Medium,0
151,3989,-18.1,29,16,3,3,2,4,Medium,0
152,3554,-13.1,36,41,14,1,4,4,High,1
153,3980,-11.9,31,21,10,1,0,5,Medium,1
154,4475,-9.0,25,34,15,3,5,4,Medium,1
155,4756,-1.7,37,15,15,3,4,5,Low,0
156,3416,-4.2,36,23,0,3,6,5,Medium,0
157,3820,-2.8,28,27,15,5,0,4,Low,0
158,3407,-17.1,43,37,15,3,5,2,Medium,0
159,4108,-14.1,32,41,3,4,4,4,High,0
160,3991,-5.2,31,63,2,2,1,4,Medium,0
161,3103,-3.5,15,32,13,2,2,2,Low,0
162,3191,-6.8,11,11,10,4,2,1,Low,0
163,4331,-15.9,28,45,6,1,2,3,High,1
164,3170,-19.3,37,36,17,1,0,1,High,0
165,3432,-10.4,31,26,11,1,5,4,Medium,0
166,3905,-18.2,37,21,0,1,1,1,High,0
167,3400,-8.8,23,17,4,5,0,3,Low,0
168,4420,-3.2,28,16,15,4,5,1,Medium,0
169,4119,-10.7,28,5,10,2,0,3,Low,0
170,2969,-21.1,9,49,6,4,2,1,Medium,1
171,3148,-15.6,45,38,12,2,1,5,Medium,0
172,3852,-5.9,39,31,6,1,6,4,High,0
173,3468,-8.7,37,17,3,5,5,3,Medium,0
174,2335,-8.1,40,51,15,3,1,4,Low,0
175,2917,0.4,23,1,15,3,1,5,Low,0
176,3640,-9.6,35,27,12,1,4,1,High,0
177,4034,-9.8,23,49,2,1,3,4,High,0
178,4042,-6.0,29,0,19,4,2,1,Low,0
179,4677,-20.2,10,33,19,5,2,1,Medium,0
180,3085,-15.1,26,16,16,5,2,4,Low,1
181,3113,-17.2,12,32,11,4,4,3,Low,0
182,3484,-7.4,15,22,10,5,6,3,Low,0
183,2494,-18.4,27,41,12,5,6,4,Low,0
184,3498,-8.1,20,54,4,3,1,3,Low,0
185,3382,-13.5,31,80,7,5,3,2,High,1
186,3975,-14.5,44,27,7,1,5,1,High,0
187,4076,-5.6,21,44,13,3,1,4,Low,0
188,3714,-21.3,25,36,11,1,1,5,High,0
189,3501,-15.4,34,38,5,1,4,4,High,0
190,3718,2.0,21,59,2,4,2,4,Low,0
191,3024,1.0,20,16,11,5,0,1,Low,0
192,3450,-24.7,23,22,4,5,1,5,Medium,0
193,3510,-15.6,36,26,3,5,4,1,High,1
194,3454,-11.6,10,10,20,5,3,3,Low,0
195,3397,-21.9,19,29,21,3,0,4,Low,0
196,3127,2.0,43,43,7,2,1,1,Medium,0
197,2884,-11.8,5,46,0,1,6,2,High,0
198,3376,-13.3,26,26,16,2,2,4,Low,1
199,3856,-9.3,43,52,11,2,2,3,Medium,0
200,2457,-9.4,47,0,13,2,3,1,Low,0
201,3201,-18.0,35,76,6,3,3,1,High,0
202,4741,-2.8,39,41,4,2,2,2,High,1
203,3384,-10.9,18,21,8,3,5,3,Low,0
204,3590,-2.8,19,39,10,4,2,2,Low,0
205,4603,-16.0,45,26,6,4,4,4,High,0
206,3691,-24.6,25,0,16,4,6,5,Medium,0
207,3705,-1.9,9,30,1,3,3,1,Medium,0
208,2953,-6.8,32,48,12,3,0,2,Low,1
209,3687,-3.8,26,49,10,1,3,1,High,0
210,3491,-3.4,28,35,16,2,1,1,Low,0
211,4054,-11.9,5,49,5,5,4,2,Medium,1
212,4266,-14.6,5,38,13,5,3,1,Medium,1
213,3518,-12.6,31,34,12,2,2,3,Low,0
214,3729,-8.1,24,16,11,5,0,3,Low,0
215,2366,-10.1,23,23,5,5,0,5,Low,0
216,2158,-24.8,31,24,6,5,1,3,Low,1
217,4155,-12.8,20,35,8,3,4,2,Medium,0
218,2003,-2.1,25,46,7,3,5,3,Low,1
219,3696,-12.0,23,17,16,3,2,5,Low,0
220,3395,2.0,36,2,10,2,1,4,Low,0
221,4238,-18.7,9,58,13,4,3,4,Medium,0
222,3478,-9.6,21,10,2,5,4,2,Medium,0
223,4581,-18.9,38,39,0,1,4,5,High,1
224,3377,-18.0,19,35,9,3,3,3,Low,0
225,4187,-17.9,29,23,3,1,7,5,High,0
226,2601,2.0,44,42,10,5,5,1,Low,1
227,2118,-13.8,29,5,5,4,0,5,Low,0
228,3483,-16.9,49,62,11,1,0,3,High,0
229,2659,-12.0,41,82,6,5,0,2,Medium,0
230,3464,-13.6,21,54,12,5,5,1,Medium,0
231,3252,-6.3,15,13,5,3,0,5,Low,0
232,3863,-26.3,21,0,0,4,3,4,Medium,0
233,2861,-18.7,31,39,14,5,2,3,Low,0
234,3754,-6.1,31,4,6,4,0,2,Low,0
235,4018,-15.4,34,21,16,3,3,3,Low,0
236,3376,-17.3,18,60,6,1,2,5,High,0
237,3786,-17.6,20,62,5,2,4,2,High,1
238,2912,-6.9,33,64,8,2,0,4,Low,0
239,3270,-7.2,47,31,7,2,1,1,Medium,0
240,2694,-5.3,17,47,10,4,1,5,Low,1
241,4903,-20.1,27,0,12,2,4,2,High,1
242,4237,-20.6,24,0,12,1,2,1,High,0
243,4496,-4.0,29,24,9,5,5,2,Medium,0
244,4228,-10.6,16,46,2,4,2,5,Medium,0
245,3102,-16.2,28,21,18,1,3,2,Medium,0
246,2579,-13.1,40,46,8,4,5,4,Low,1
247,3245,-20.6,11,6,7,4,0,2,Low,0
248,3785,-15.7,37,32,9,4,3,5,Medium,1
249,3325,-10.9,16,40,8,3,2,2,Low,0
250,2159,-9.5,30,45,1,5,1,1,Low,0
251,3948,-12.6,32,20,12,2,2,1,High,0
252,2541,-13.3,31,30,5,3,3,3,Low,0
253,3246,-6.9,24,0,8,5,1,3,Low,0
254,4546,-12.7,34,27,18,2,3,4,Medium,0
255,3529,-15.1,15,51,14,3,0,1,Low,0
256,4145,-17.3,37,24,18,3,2,3,Low,0
257,3708,-24.4,23,15,6,1,4,2,High,0
258,2894,-7.5,31,45,13,3,4,4,Low,1
259,3937,-1.8,24,75,12,4,5,5,Low,0
260,3462,-17.8,43,73,9,3,2,3,Medium,0
261,2608,-20.9,32,35,6,4,2,3,Low,0
262,2507,-16.4,34,45,15,5,4,1,Medium,0
263,3729,-10.0,35,62,7,5,5,4,Medium,1
264,4784,-15.5,25,34,10,4,3,1,High,0
265,2854,-15.7,30,39,14,1,6,1,High,0
266,2925,-12.6,29,23,5,1,4,4,Medium,0
267,3738,-11.3,34,77,4,5,1,2,High,0
268,2711,-9.4,23,44,22,3,2,3,Low,0
269,4912,-14.1,20,24,5,5,2,1,High,1
270,2980,-14.2,39,18,18,5,0,3,Low,0
271,3200,-25.5,35,0,9,4,1,4,Low,1
272,3017,-5.5,19,0,7,1,5,2,Medium,0
273,4060,-10.2,47,15,8,4,5,5,Medium,0
274,4797,-1.4,22,48,9,5,3,2,Medium,0
275,3078,-8.4,29,36,16,2,3,4,Low,0
276,4019,-12.5,39,4,13,3,2,2,Low,0
277,2716,-22.4,39,11,8,5,1,5,Low,1
278,4075,-23.4,20,35,0,4,4,1,High,0
279,4555,-4.7,33,63,10,2,2,2,High,1
280,4371,-8.1,24,7,10,2,6,4,Medium,0
281,3579,-1.7,32,39,16,5,3,2,Low,0
282,2880,-5.5,26,21,2,1,3,5,Medium,1
283,3500,-14.6,23,21,7,2,0,4,Low,1
284,3313,-28.1,18,6,7,3,0,2,Low,0
285,3231,-7.8,39,42,9,4,3,4,Low,0
286,3623,-19.1,20,20,10,4,2,5,Low,0
287,3460,-13.3,42,22,12,4,4,1,Medium,0
288,3924,-9.1,25,49,0,5,1,5,Medium,0
289,3928,-16.4,32,50,10,4,1,1,High,0
290,3462,-17.8,43,15,11,4,5,3,Medium,0
291,3759,-14.2,23,35,10,3,3,5,Low,0
292,4292,-26.3,32,48,9,1,0,1,High,0
293,3181,-19.2,32,26,0,5,3,3,Medium,1
294,3509,-19.3,21,43,12,5,6,3,Medium,0
295,2882,-13.7,30,23,5,4,3,3,Low,1
296,3787,-18.6,35,23,13,3,2,4,Low,0
297,3619,-15.6,45,11,16,2,4,5,Medium,0
298,3776,-15.1,23,64,1,4,3,5,Medium,0
299,2906,2.0,31,20,12,4,5,5,Low,1
300,3959,-6.6,26,13,3,5,4,5,Low,0
301,3561,-12.8,29,9,9,5,4,4,Low,0
302,4117,-8.9,22,31,9,4,5,5,Medium,1
303,3237,-5.6,26,9,13,5,2,1,Low,0
304,3909,-10.0,43,15,13,3,1,3,Low,0
305,3767,-19.2,29,45,11,2,0,4,Medium,1
306,4414,-13.0,28,38,1,2,2,4,High,0
307,3430,-18.8,19,3,0,2,0,5,Medium,0
308,3167,-14.3,38,44,14,4,3,3,Low,0
309,3203,-13.1,36,30,13,4,1,1,Low,1
310,2835,-4.6,29,52,5,4,4,3,Low,0
311,3198,-17.6,47,58,11,3,4,2,High,1
312,2095,-18.1,22,0,8,2,2,3,Low,0
313,4321,-17.0,17,45,15,5,4,1,High,1
314,4660,-16.3,27,62,10,5,3,1,High,0
315,3411,-14.2,19,34,14,1,0,1,Medium,0
316,3762,-9.7,30,43,6,1,1,4,Medium,1
317,3598,-17.5,28,34,11,5,1,4,Low,1
318,2712,-11.2,39,49,7,2,3,2,Medium,0
319,4115,-11.1,23,37,6,4,2,3,Low,1
320,4205,-8.1,31,0,0,5,1,5,Low,0
321,2875,-13.5,29,27,14,5,4,2,Low,0
322,3697,-6.2,36,26,18,1,4,5,Medium,0
323,3342,-9.4,16,44,3,2,1,5,Low,0
324,4213,-9.7,19,53,13,5,1,2,Low,0
325,3450,-15.9,22,25,13,4,5,3,Low,1
326,3466,-10.1,17,5,7,4,8,5,Low,0
327,4592,-9.5,34,36,6,3,1,4,Medium,0
328,2728,-16.2,34,14,15,4,4,4,Low,0
329,3648,-3.6,38,17,15,5,2,2,Low,0
330,3553,2.0,26,77,12,5,4,5,Low,0
331,3137,-16.6,23,16,7,4,1,2,Low,0
332,4723,-15.3,18,0,15,1,0,4,Medium,1
333,3701,-15.1,41,42,5,2,0,2,High,1
334,3903,-21.2,25,44,17,5,1,5,Low,0
335,3988,-18.1,20,47,18,4,2,5,Low,0
336,3307,-6.0,35,46,15,4,4,4,Low,0
337,4245,-12.6,24,32,11,5,1,1,Medium,0
338,4124,1.4,17,33,0,3,1,1,Medium,0
339,3426,-14.0,19,48,9,2,7,3,High,0
340,4062,-9.1,28,62,18,5,3,4,Low,1
341,4243,-18.3,17,4,14,4,3,3,Low,0
342,3977,-12.8,27,17,12,3,4,4,Low,0
343,2998,-11.4,19,42,6,5,1,5,Low,1
344,3444,-26.7,18,35,15,2,2,4,Medium,0
345,3785,-17.8,23,0,2,3,2,2,Medium,0
346,3651,-7.5,29,18,9,4,2,3,Low,0
347,3052,-7.9,31,36,18,1,4,4,Low,1
348,3328,-20.7,37,30,5,2,4,3,High,0
349,3711,-14.5,20,22,13,3,0,4,Low,1
350,2594,-28.6,41,76,1,5,4,1,High,0
351,3511,-12.0,55,29,6,5,2,3,Medium,0
352,3917,-3.2,23,34,10,3,3,5,Low,0
353,3669,-2.9,10,32,11,5,2,5,Low,0
354,2985,-3.1,10,34,20,3,2,4,Low,0
355,3091,-8.3,23,30,7,2,5,5,Low,0
356,4392,-3.9,21,0,12,5,3,5,Low,0
357,2937,-13.3,28,10,12,2,5,3,Low,1
358,4211,-15.7,33,23,7,4,2,4,Medium,1
359,3127,-4.0,15,46,14,4,2,3,Low,1
360,4178,-10.0,26,24,13,4,3,4,Low,0
361,3824,-24.6,22,13,8,4,0,5,Low,0
362,3291,-3.5,48,48,10,5,0,4,Low,0
363,2440,-13.5,14,57,5,3,1,4,Low,1
364,3739,-16.7,20,0,5,5,5,2,Medium,0
365,3608,-5.1,28,31,9,5,5,4,Low,1
366,3748,-6.1,20,0,13,2,0,2,Low,0
367,3823,-18.7,39,23,8,3,5,3,High,0
368,2711,-13.1,17,67,6,1,1,2,Medium,1
369,3735,-18.4,18,31,8,1,0,3,Medium,0
370,3945,-18.2,40,2,14,3,5,4,Medium,0
371,3938,-32.9,16,2,3,1,1,3,High,0
372,2748,-19.1,36,11,14,3,8,5,Low,0
373,4192,-13.2,23,16,12,2,1,4,Low,0
374,3757,-31.8,21,0,3,2,2,2,High,0
375,3833,-21.6,22,36,8,5,1,1,High,0
376,2962,-7.8,16,40,13,1,3,4,Low,0
377,3954,-21.9,37,22,0,3,4,5,High,0
378,2465,-13.1,29,70,4,2,0,3,Low,0
379,2991,-23.6,36,21,2,5,4,2,High,1
380,4259,-9.1,39,54,7,1,2,2,High,0
381,3925,-14.3,33,2,15,1,1,5,Medium,1
382,3674,-18.4,13,35,13,1,0,5,Medium,1
383,4066,-30.5,18,39,7,2,4,4,High,1
384,4107,-18.3,36,15,15,2,3,1,High,1
385,3954,-7.3,28,33,13,1,1,1,High,1
386,3369,-1.1,34,15,16,2,4,3,Low,1
387,2973,-13.5,27,23,9,1,4,2,Medium,0
388,3101,-12.7,23,24,12,4,4,4,Low,0
389,4346,-16.7,34,1,26,2,6,2,Medium,1
390,2734,-3.4,10,40,8,3,3,4,Low,0
391,3794,-13.7,24,41,9,2,6,5,High,1
392,3795,-5.7,28,22,9,1,5,3,Medium,1
393,4380,-10.3,30,34,9,3,4,5,Medium,0
394,3793,-11.1,15,11,12,5,0,2,Low,0
395,3246,-19.1,15,4,10,3,3,3,Low,0
396,3255,0.5,24,22,3,3,3,4,Low,0
397,3496,-1.7,27,43,10,2,3,4,Low,0
398,4179,2.0,43,28,7,3,2,3,Low,0
399,3983,-19.7,19,21,1,3,4,5,Medium,0
400,2848,-10.2,23,36,15,1,4,3,Low,0
401,3667,-17.6,43,11,7,2,0,5,Medium,0
402,3995,-8.9,38,5,11,1,5,3,High,1
403,3357,-10.0,16,22,0,2,0,5,Low,0
404,2204,-14.9,34,12,12,5,2,1,Low,1
405,3382,-13.6,36,6,8,3,1,3,Low,0
406,2608,2.0,29,48,2,2,1,5,Low,0
407,2513,-12.9,16,74,7,3,5,2,Medium,0
408,4139,-27.4,22,0,6,3,3,2,High,0
409,5012,-15.8,21,21,13,4,4,3,Medium,0
410,4318,-19.7,33,33,10,1,4,3,High,1
411,2000,-18.4,23,0,2,2,0,4,Low,0
412,3396,-7.0,25,25,12,5,1,5,Low,0
413,3146,-5.8,21,26,0,4,4,3,Low,0
414,2617,-17.9,12,39,4,1,4,2,High,0
415,3778,-15.9,53,14,10,5,0,2,Medium,0
416,3389,-16.9,32,18,6,5,5,2,Medium,0
417,2801,-1.4,42,49,15,3,4,5,Low,0
418,2266,-5.6,16,38,10,1,1,1,Low,0
419,3134,-7.3,43,44,13,4,3,3,Low,0
420,3504,-19.2,24,0,13,2,2,1,Medium,0
421,3428,-24.0,33,16,7,2,3,5,High,0
422,4137,-3.4,37,60,4,4,0,3,Low,0
423,3702,1.4,43,28,9,3,2,4,Low,0
424,3293,-24.3,27,27,14,3,5,3,Medium,0
425,3009,2.0,17,28,8,5,4,3,Low,0
426,2437,-12.7,27,61,12,1,4,3,Medium,0
427,2845,-10.8,33,15,9,5,2,3,Low,0
